"Dept Unit","Job Class","Exposure Type","Count","% of Total"
"D1 Westchase Sports Medicine: D1 Westchase","NonTGH-HR-Surgical Tech: Non Surg Tec","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Dietetic Services: 13510","CAFETERIA CASHIER: 922","ENV-Exposure Source Unknown","1","0.0"
"Dietetic Services: 13510","COOK I: 6114","Code Purple Called","1","0.0"
"Dietetic Services: 13510","DIETARY SERV AIDE: 6142","ENV-Exposure Source Unknown","1","0.0"
"Dietetic Services: 13510","DIETETIC SERVICES SUPERVISOR: 6150","TB-Exposure Confirmed/Actual","1","0.0"
"Dietetic Services: 13510","Dining Ambassador: 6135","EXP- Not considered  BBP Exp","1","0.0"
"Donor Call Center: 16100","DONOR CENTER COORDINATOR: 5415","CD-Pertussis Exposur Confirmed","1","0.0"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","CD-N.Meningitis  Exp Confirmed","8","0.3"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","CD-N.Meningitis No Exposure","7","0.3"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","CD-Pertussis Exposur Confirmed","15","0.6"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","CD-Scabies Exposure Confirmed","2","0.1"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","1","0.0"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","14","0.5"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","6","0.2"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","13","0.5"
"Emergency Department: 10400","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","7","0.3"
"Emergency Department: 10400","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Emergency Department: 10400","INTERN: 33333","CD-Pertussis Exposur Confirmed","1","0.0"
"Emergency Department: 10400","LPN: 5331","CD-Pertussis Exposur Confirmed","11","0.4"
"Emergency Department: 10400","LPN: 5331","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Emergency Department: 10400","LPN: 5331","EXPS-Skin Exposure BBP","1","0.0"
"Emergency Department: 10400","LPN: 5331","TB-Exposure Confirmed/Actual","1","0.0"
"Emergency Department: 10400","MENTAL HEALTH TECH: 6742","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Emergency Department: 10400","NonTGH-Student-EMT/Paramedic: EMT/Para","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Emergency Department: 10400","NURSE TECH - R1: 5380","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Emergency Department: 10400","PARAMEDIC (ER): 5325","CD-N.Meningitis No Exposure","1","0.0"
"Emergency Department: 10400","PARAMEDIC (ER): 5325","EXPMM- Mucous Membrane BBP","2","0.1"
"Emergency Department: 10400","PARAMEDIC (ER): 5325","EXPS-Skin Exposure BBP","1","0.0"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","CD-Pertussis Exposur Confirmed","4","0.2"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","ENV-Exposure To Chemical","2","0.1"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","EXP- Not considered  BBP Exp","1","0.0"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","EXPMM- Mucous Membrane BBP","1","0.0"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Emergency Department: 10400","PATIENT CARE TECH: 5342","TB-Exposure Confirmed/Actual","1","0.0"
"Emergency Department: 10400","POOL PARAMEDIC: 75325","EXP- Not considered  BBP Exp","1","0.0"
"Emergency Department: 10400","POOL RN-C: 75363","EXPMM- Mucous Membrane BBP","1","0.0"
"Employee Health: 21025","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Employee Health: 21025","EMPL HEALTH CLINICIAN: 5388","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Employee Health: 21025","HRIS ANALYST II: 5211","ENV-Exposure Source Unknown","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","*ERROR Logging Incident","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","CD-Pertussis Exposur Confirmed","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","CD-Scabies Norwegian Exposure","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","ENV-Exposure To Chemical","11","0.4"
"Environmental Services: 20440","EVS Aide 1: 6518","EXP- No Exposure","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","EXP- Not considered  BBP Exp","6","0.2"
"Environmental Services: 20440","EVS Aide 1: 6518","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Environmental Services: 20440","EVS Aide 1: 6518","EXPNS-Needlestick/Sharp BBP","10","0.4"
"Environmental Services: 20440","EVS Aide 1: 6518","TB-Exposure Confirmed/Actual","2","0.1"
"Environmental Services: 20440","EVS Aide 2: 6520","CD-C Diff Exposure","1","0.0"
"Environmental Services: 20440","EVS Aide 2: 6520","ENV-Exposure Source Unknown","1","0.0"
"Environmental Services: 20440","EVS Aide 2: 6520","ENV-Exposure To Chemical","7","0.3"
"Environmental Services: 20440","EVS Aide 2: 6520","EXP- No Exposure","1","0.0"
"Environmental Services: 20440","EVS Aide 2: 6520","EXPMM- Mucous Membrane BBP","1","0.0"
"Environmental Services: 20440","EVS Aide 2: 6520","EXPNS-Needlestick/Sharp BBP","5","0.2"
"Environmental Services: 20440","EVS Aide 2: 6520","TB-Exposure Confirmed/Actual","4","0.2"
"Environmental Services: 20440","EVS Team Leader: 6515","ENV-Exposure To Chemical","1","0.0"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","ENV-Exposure Source Unknown","1","0.0"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","ENV-Exposure To Chemical","2","0.1"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","EXP- No Exposure","1","0.0"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","EXPMM- Mucous Membrane BBP","1","0.0"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Environmental Services: 20440","Pool EVS Aide 1: 76518","TB-Exposure Confirmed/Actual","2","0.1"
"Environmental Services: 20440","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Facilities Construction: 20425","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Facilities Maintenance: 20415","FACILITIES TECHNICIAN  I: 763","ENV-Exposure To Chemical","1","0.0"
"Facilities Maintenance: 20415","FACILITIES TECHNICIAN  I: 763","ENV-Exposure Ultraviolet Light","1","0.0"
"Facilities Maintenance: 20415","FACILITIES TECHNICIAN 2: 764","ENV-Exposure To Chemical","2","0.1"
"Facilities Maintenance: 20415","FACILITIES TECHNICIAN 2: 764","EXP- Not considered  BBP Exp","1","0.0"
"Financial Assistance: 20760","FINANCIAL ASST SPEC: 1302","ENV-Exposure To Chemical","1","0.0"
"GE Center: 11620","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"GE Center: 11620","GE TECH: 5345","EXPMM- Mucous Membrane BBP","2","0.1"
"GE Center: 11620","GE TECH: 5345","EXPNS-Needlestick/Sharp BBP","1","0.0"
"GE Center: 11620","GE TECH: 5345","EXPS-Skin Exposure BBP","1","0.0"
"GE Center: 11620","Unspecified: Job Class","ENV-Exposure To Chemical","1","0.0"
"GE Pre Post Procedure: 11425","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","1","0.0"
"GE Pre Post Procedure: 11425","SUPPORT SVCS AIDE: 6516","ENV-Exposure To Chemical","1","0.0"
"Grant - Pic Lip Funds: 14740","CLINICAL NURSE (RN): 5334","ENV-Exposure Source Unknown","3","0.1"
"Grant - Pic Lip Funds: 14740","SR POISON INFORMATION SPEC: 5416","ENV-Exposure Source Unknown","1","0.0"
"Grant - Pic Lip Funds: 14740","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"HMT - Cardiology: 16700","PHYSICIAN SUPPORT SPECIALIST 1: 6401","ENV-Exposure Source Unknown","1","0.0"
"Home Care Tampa Skilled Nurse: 018901","HC - RN: 25008","EXPS-Skin Exposure BBP","1","0.0"
"Home Care Tampa Skilled Nurse: 018901","HC - RN: 25008","TB-Exposure Confirmed/Actual","1","0.0"
"Home Care Zephyr Skilled Nurse: 018911","HC - RN: 25008","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Infusion Center: 13000","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","1","0.0"
"Infusion Center: 13000","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Inpatient Care Coordination: 20100","CARE COORDINATOR 1: 5487","CD-Influenza Exposure","1","0.0"
"Inpatient Care Coordination: 20100","ED CARE COORDINATOR: 156","CD-Pertussis Exposur Confirmed","1","0.0"
"Inpatient Care Coordination: 20100","TEMP CARE COORDINATOR: 15487","CD-Influenza Exposure","1","0.0"
"Inpatient Social Work: 20105","SOCIAL WORKER LCSW: 6731","TB-Exposure Confirmed/Actual","1","0.0"
"Inpatient Social Work: 20105","SOCIAL WORKER MSW: 6732","CD-Influenza Exposure","1","0.0"
"IT Administration: 21125","MGR,BUSINESS OPS: 5155","ENV-Exposure To Mold","1","0.0"
"Joint Replacement Center 7A1: 10010","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","1","0.0"
"Joint Replacement Center 7A1: 10010","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Joint Replacement Center 7A1: 10010","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","5","0.2"
"Joint Replacement Center 7A1: 10010","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Joint Replacement Center 7A1: 10010","PATIENT CARE TECH: 5342","EXPMM- Mucous Membrane BBP","1","0.0"
"Labor & Delivery 4K1-5: 11005","CLINICAL NURSE (RN): 5334","CD-Parvovirus Exposure","1","0.0"
"Labor & Delivery 4K1-5: 11005","CLINICAL NURSE (RN): 5334","CD-Pediculosis","1","0.0"
"Labor & Delivery 4K1-5: 11005","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","9","0.3"
"Labor & Delivery 4K1-5: 11005","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","5","0.2"
"Labor & Delivery 4K1-5: 11005","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Labor & Delivery 4K1-5: 11005","CLINICIAN PERINATAL SAFETY NUR: 340","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Labor & Delivery 4K1-5: 11005","PATIENT CARE TECH: 5342","EXPMM- Mucous Membrane BBP","1","0.0"
"Labor & Delivery 4K1-5: 11005","POOL RN-C: 75363","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Labor & Delivery 4K1-5: 11005","Surgical Tech 1: 5982","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Labor & Delivery 4K1-5: 11005","Surgical Tech 2: 5978","EXP- Not considered  BBP Exp","1","0.0"
"Labor & Delivery 4K1-5: 11005","Surgical Tech 3: 5979","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Labor & Delivery 4K1-5: 11005","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Laboratory - Anatomic Path: 14025","HISTOLOGIST: 5973","ENV-Exposure To Chemical","2","0.1"
"Laboratory - Anatomic Path: 14025","MGR, PATH SECT: 5911","ENV-Exposure To Chemical","1","0.0"
"Laboratory - Anatomic Path: 14025","MORGUE  ATT AUTOPSY AIDE: 5986","ENV-Exposure To Chemical","1","0.0"
"Laboratory - Anatomic Path: 14025","Unspecified: Job Class","ENV-Exposure To Chemical","1","0.0"
"Laboratory - Chemistry: 14010","MEDICAL TECH: 5909","EXP- No Exposure","1","0.0"
"Laboratory - Chemistry: 14010","MEDICAL TECH: 5909","EXPMM- Mucous Membrane BBP","1","0.0"
"Laboratory - Chemistry: 14010","MEDICAL TECH: 5909","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Laboratory - Clinic Phlebotomy: 14023","PHELBOTOMIST 2: 5889","ENV-Exposure To Chemical","1","0.0"
"Laboratory - Clinic Phlebotomy: 14023","PHELBOTOMIST 2: 5889","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Laboratory - Clinic Phlebotomy: 14023","PHELBOTOMIST 2: 5889","TB-Exposure Confirmed/Actual","1","0.0"
"Laboratory - Esoteric Testing: 14040","MEDICAL TECH: 5909","ENV-Exposure Source Unknown","1","0.0"
"Laboratory - Esoteric Testing: 14040","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Laboratory - Hematology: 14015","MEDICAL TECH: 5909","EXP- No Exposure","1","0.0"
"Laboratory - Hematology: 14015","MEDICAL TECH: 5909","EXPMM- Mucous Membrane BBP","1","0.0"
"Laboratory - Hematology: 14015","POOL MEDICAL TECH: 75909","EXPMM- Mucous Membrane BBP","1","0.0"
"Laboratory - Hematology: 14015","POOL MEDICAL TECH: 75909","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Laboratory - Med Tech School: 14060","FLEX LABORATORY ASST: 75906","CD-N.Meningitis  Exp Confirmed","1","0.0"
"Laboratory - Microbiology: 14020","Laboratory Assistant: 5906","CD-Brucellosis Exposure","4","0.2"
"Laboratory - Microbiology: 14020","Laboratory Assistant: 5906","TB-Exposure Confirmed/Actual","1","0.0"
"Laboratory - Microbiology: 14020","MED TECH-TEAM LDR: 5910","CD-Brucellosis Exposure","2","0.1"
"Laboratory - Microbiology: 14020","MED TECH-TEAM LDR: 5910","ENV-Exposure Source Unknown","1","0.0"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","CD-Brucellosis Exposure","26","1.0"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","CD-N.Meningitis  Exp Confirmed","21","0.8"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","ENV-Exposure To Chemical","7","0.3"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","EXP- No Exposure","2","0.1"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","EXP-No Exp Incident Report Fil","1","0.0"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Laboratory - Microbiology: 14020","MEDICAL TECH: 5909","TB-Exposure Confirmed/Actual","1","0.0"
"Laboratory - Microbiology: 14020","MGR, PATH SECT: 5911","CD-Brucellosis Exposure","1","0.0"
"Laboratory - Microbiology: 14020","POOL MEDICAL TECH: 75909","CD-Brucellosis Exposure","2","0.1"
"Laboratory - Microbiology: 14020","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Laboratory - Microbiology: 14020","Unspecified: Job Class","ENV-Exposure To Mold","1","0.0"
"Laboratory - Microbiology: 14020","Unspecified: Job Class","Unspecified","1","0.0"
"Laboratory - Phlebotomy: 14030","PHELBOTOMIST 2: 5889","CD-Pertussis Exposur Confirmed","1","0.0"
"Laboratory - Phlebotomy: 14030","PHELBOTOMIST 2: 5889","ENV-Exposure Source Unknown","2","0.1"
"Laboratory - Phlebotomy: 14030","PHELBOTOMIST 2: 5889","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Laboratory - Phlebotomy: 14030","PHLEBOTOMIST: 5890","CD-Pertussis Exposur Confirmed","3","0.1"
"Laboratory - Phlebotomy: 14030","PHLEBOTOMIST: 5890","EXPMM- Mucous Membrane BBP","2","0.1"
"Laboratory - Phlebotomy: 14030","PHLEBOTOMIST: 5890","EXPNS-Needlestick/Sharp BBP","16","0.6"
"Laboratory - Phlebotomy: 14030","PHLEBOTOMIST: 5890","TB-Exposure Confirmed/Actual","20","0.7"
"Laboratory - Phlebotomy: 14030","POOL, PHLEBOTOMIST 1: 75890","CD-Pertussis Exposur Confirmed","3","0.1"
"Laboratory - Phlebotomy: 14030","POOL, PHLEBOTOMIST 1: 75890","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Laboratory - Phlebotomy: 14030","POOL, PHLEBOTOMIST 1: 75890","TB-Exposure Confirmed/Actual","1","0.0"
"Laboratory - Phy Office Lab: 14050","Laboratory Assistant: 5906","EXP- Not considered  BBP Exp","1","0.0"
"Laboratory - Support Services: 14055","LAB ASST - TEAM LDR: 5902","EXP- No Exposure","1","0.0"
"Laboratory - Support Services: 14055","Laboratory Assistant: 5906","ENV-Exposure Source Unknown","3","0.1"
"Laboratory - Support Services: 14055","Laboratory Assistant: 5906","ENV-Exposure To Chemical","1","0.0"
"Laboratory - Support Services: 14055","Laboratory Assistant: 5906","EXP- Not considered  BBP Exp","1","0.0"
"Laboratory - Support Services: 14055","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Lift Team: 21030","LIFT TEAM TECHNICIAN  II: 1316","ENV-Exposure Source Unknown","1","0.0"
"Lift Team: 21030","LIFT TEAM TECHNICIAN I: 1305","EXP- No Exposure","1","0.0"
"Lift Team: 21030","LIFT TEAM TECHNICIAN I: 1305","EXPMM- Mucous Membrane BBP","2","0.1"
"Lift Team: 21030","LIFT TEAM TECHNICIAN I: 1305","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Lift Team: 21030","LIFT TEAM TECHNICIAN I: 1305","TB-Exposure Confirmed/Actual","1","0.0"
"Marketing: 21605","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Medical ICU 2D1-2: 10520","CARDIAC MONITOR TECH: 5349","CD-N.Meningitis  Exp Confirmed","1","0.0"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","CD-N.Meningitis  Exp Confirmed","3","0.1"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","5","0.2"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","7","0.3"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","11","0.4"
"Medical ICU 2D1-2: 10520","CLINICAL NURSE (RN): 5334","Unspecified","1","0.0"
"Medical ICU 2D1-2: 10520","CLINICIAN: 5371","CD-N.Meningitis  Exp Confirmed","1","0.0"
"Medical ICU 2D1-2: 10520","Orientation RN: 5401","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Medical ICU 2D1-2: 10520","POOL RN-C: 75363","EXP- Not considered  BBP Exp","1","0.0"
"Medical ICU 2D1-2: 10520","POOL RN-C: 75363","EXPMM- Mucous Membrane BBP","1","0.0"
"Medical ICU 2D1-2: 10520","POOL RN-C: 75363","Unspecified","1","0.0"
"Medical Library: 20235","MEDICAL LIBRARIAN: 750","CD-Pertussis Exposur Confirmed","1","0.0"
"Medical Library: 20235","MGR, LIBRARY SVCS: 6702","ENV-Exposure Source Unknown","1","0.0"
"Medical Staff Services: 20215","MED STAFF SVCS ASSOC: 6673","ENV-Exposure Source Unknown","1","0.0"
"Morrison: Morrison","Cafeteria Service Aides: CSA","TB-Exposure Confirmed/Actual","1","0.0"
"Morrison: Morrison","Catering Associates: CA","CD-Scabies Exposure Confirmed","1","0.0"
"Morrison: Morrison","Catering Associates: CA","TB-Exposure Confirmed/Actual","1","0.0"
"Morrison: Morrison","Unspecified: Job Class","TB-Exposure Confirmed/Actual","1","0.0"
"Neonatal ICU 4B1-3: 10950","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Neonatal ICU 4B1-3: 10950","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","3","0.1"
"Neonatal ICU 4B1-3: 10950","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","2","0.1"
"Neonatal ICU 4B1-3: 10950","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","6","0.2"
"Neonatal ICU 4B1-3: 10950","PATIENT CARE TECH: 5342","ENV-Exposure To Chemical","1","0.0"
"Neonatal ICU 4B1-3: 10950","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Neonatal ICU 4B1-3: 10950","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Neurodiagnostic Lab: 15300","NEURO SPEC PROCEDURE TECH I: 5947","CD-Pediculosis","1","0.0"
"Neurodiagnostic Lab: 15300","NEURO SPEC PROCEDURE TECH I: 5947","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Neurodiagnostic Lab: 15300","NEURO SPEC PROCEDURE TECH II: 5949","ENV-Exposure To Chemical","1","0.0"
"Neurodiagnostic Lab: 15300","NEURO SPEC PROCEDURE TECH II: 5949","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Neurodiagnostic Lab: 15300","NEURO SPEC PROCEDURE TECH IV: 5998","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Neurodiagnostic Lab: 15300","SR MGR, RADIOLOGY: 5952","Unspecified","1","0.0"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","EXP-BBP Personal Exposure","1","0.0"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","6","0.2"
"Neuroscience 1 9A1: 10730","CLINICAL NURSE (RN): 5334","Unspecified","1","0.0"
"Neuroscience 1 9A1: 10730","NURSE MGR: 5322","ENV-Exposure Source Unknown","1","0.0"
"Neuroscience 1 9A1: 10730","PATIENT CARE TECH: 5342","EXPS-Skin Exposure BBP","1","0.0"
"Neuroscience 1 9A1: 10730","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Neuroscience 1 9A1: 10730","Unspecified: Job Class","ENV-Exposure To Chemical","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CARDIAC MONITOR TECH: 5349","ENV-Exposure To Chemical","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","CD-N.Meningitis  Exp Confirmed","2","0.1"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","CD-Scabies Exposure Confirmed","2","0.1"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","11","0.4"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","9","0.3"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICAL NURSE (RN): 5334","Unspecified","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","NURSE TECH-CN: 5351","CD-Scabies Exposure Confirmed","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","Orientation RN: 5401","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","PATIENT CARE TECH: 5342","EXPMM- Mucous Membrane BBP","1","0.0"
"Neuroscience ICU 1 5K3 5K4: 10525","POOL RN-C: 75363","Unspecified","1","0.0"
"Neuroscience ICU 2 5K5: 10540","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Non-Invasive Cardiology: 13300","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Non-Invasive Cardiology: 13300","ECHOCARDIOGRAPHY TECH 2: 5548","CD-N.Meningitis  Exp Confirmed","2","0.1"
"Non-Invasive Cardiology: 13300","ECHOCARDIOGRAPHY TECH 2: 5548","TB-Exposure Confirmed/Actual","3","0.1"
"Non-Invasive Cardiology: 13300","EKG SPECIALIST: 5941","TB-Exposure Confirmed/Actual","1","0.0"
"Non-Invasive Cardiology: 13300","EKG Team Leader: 5690","CD-Pertussis Exposur Confirmed","1","0.0"
"Non-Invasive Cardiology: 13300","EKG Team Leader: 5690","TB-Exposure Confirmed/Actual","2","0.1"
"Non-Invasive Cardiology: 13300","EKG TECH: 5940","TB-Exposure Confirmed/Actual","1","0.0"
"Non-Invasive Cardiology: 13300","SUPPORT SVCS AIDE: 6516","TB-Exposure Confirmed/Actual","2","0.1"
"Non-TGH - HCC: NTHCC","Student - Other: NTSTUOTH","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Non-TGH - USF: NTUSF","Intern: INT","CD-Pertussis Exposur Confirmed","2","0.1"
"Non-TGH - USF: NTUSF","Other - Researcher: OTHR","CD-Pertussis Exposur Confirmed","2","0.1"
"Non-TGH - USF: NTUSF","Other - Student: OTHS","CD-Pertussis Exposur Confirmed","3","0.1"
"Non-TGH - USF: NTUSF","Physician - Attending: MD","EXPMM- Mucous Membrane BBP","2","0.1"
"Non-TGH - USF: NTUSF","Physician - Attending: MD","EXPNS-Needlestick/Sharp BBP","4","0.2"
"Non-TGH - USF: NTUSF","Physician - Fellow: FEL","EXP- Not considered  BBP Exp","1","0.0"
"Non-TGH - USF: NTUSF","Physician - Fellow: FEL","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Non-TGH - USF: NTUSF","Resident: NTR","EXP- Not considered  BBP Exp","1","0.0"
"Non-TGH - USF: NTUSF","Resident: NTR","EXPMM- Mucous Membrane BBP","1","0.0"
"Non-TGH - USF: NTUSF","Resident: NTR","EXPNS-Needlestick/Sharp BBP","14","0.5"
"Non-TGH - USF: NTUSF","Resident: NTR","EXPS-Skin Exposure BBP","1","0.0"
"Non-TGH - USF: NTUSF","Student - CRNA: SRNA","EXP- Not considered  BBP Exp","1","0.0"
"Non-TGH - USF: NTUSF","Student - Medical: MDSTU","EXPNS-Needlestick/Sharp BBP","4","0.2"
"Non-TGH - USF: NTUSF","Student - Nursing: STURN","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Non-TGH - USF: NTUSF","Unspecified: Job Class","EXP- Not considered  BBP Exp","1","0.0"
"Non-TGH - USF: NTUSF","Unspecified: Job Class","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Non-TGH Other: Non-Other","NonTGH-Observer: NonTGH-Obser","EXPMM- Mucous Membrane BBP","1","0.0"
"Non-TGH Other: Non-Other","NonTGH-Other: Nonother","TB-Exposure Confirmed/Actual","1","0.0"
"Non-TGH Other: Non-Other","STUDENT INTERN: 35100","EXPMM- Mucous Membrane BBP","1","0.0"
"Non-TGH Other: Non-Other","Unspecified: Job Class","EXP-No Exp Incident Report Fil","1","0.0"
